Filename                                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
ChatBotsApp/APIEndpointStore.swift                       58                31    46.55%          25                 8    68.00%         140                51    63.57%           0                 0         -
ChatBotsApp/EngineSupervisor.swift                       91                75    17.58%          19                12    36.84%         226               206     8.85%           0                 0         -
ChatBotsApp/Views/ZoomHUD.swift                           3                 3     0.00%           3                 3     0.00%          29                29     0.00%           0                 0         -
ChatBotsApp/Views/SavedConversationsSheet.swift          61                61     0.00%          39                39     0.00%         448               448     0.00%           0                 0         -
ChatBotsApp/Views/AppKitScrollView.swift                 20                20     0.00%           8                 8     0.00%          76                76     0.00%           0                 0         -
ChatBotsApp/Views/TurnRow.swift                          50                50     0.00%          17                17     0.00%         291               291     0.00%           0                 0         -
ChatBotsApp/Views/APIEndpointsSheet.swift                63                63     0.00%          40                40     0.00%         425               425     0.00%           0                 0         -
ChatBotsApp/Views/ControlBar.swift                      128               128     0.00%          87                87     0.00%        1008              1008     0.00%           0                 0         -
ChatBotsApp/Views/AgentTheme.swift                      124               124     0.00%          39                39     0.00%         168               168     0.00%           0                 0         -
ChatBotsApp/Views/UnifiedConversation.swift             160               160     0.00%          76                76     0.00%        1000              1000     0.00%           0                 0         -
ChatBotsApp/Views/ReportSheet.swift                      53                53     0.00%          21                21     0.00%         244               244     0.00%           0                 0         -
ChatBotsApp/Views/AttachmentBar.swift                    57                57     0.00%          24                24     0.00%         396               396     0.00%           0                 0         -
ChatBotsApp/Views/ModeratorIdentitySheet.swift           20                20     0.00%          18                18     0.00%         295               295     0.00%           0                 0         -
ChatBotsApp/Views/ChatPane.swift                         54                54     0.00%          32                32     0.00%         489               489     0.00%           0                 0         -
ChatBotsApp/Views/LineupSheet.swift                      33                33     0.00%          23                23     0.00%         276               276     0.00%           0                 0         -
ChatBotsApp/Views/VoteButtons.swift                      27                27     0.00%          11                11     0.00%         121               121     0.00%           0                 0         -
ChatBotsApp/Views/ContentView.swift                      61                61     0.00%          30                30     0.00%         321               321     0.00%           0                 0         -
ChatBotsApp/Views/AgentHeader.swift                      88                88     0.00%          57                57     0.00%         665               665     0.00%           0                 0         -
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                  6491              2570    60.41%        2518              1075    57.31%       20519              9843    52.03%           0                 0         -
